Word,Frequency
little,89
one,58
said,58
could,54
water,53
prince,51
like,45
would,44
sea,43
ship,40
mermaid,38
dorothy,34
long,31
world,31
see,30
never,29
sun,29
upon,28
thou,28
must,27
saw,27
beautiful,27
duckling,27
far,26
wind,25
away,25
well,25
eyes,25
seen,24
looked,24
old,24
around,23
every,23
sisters,23
good,22
knew,22
among,22
might,22
young,22
great,21
still,21
rose,21
princess,21
much,20
stood,20
palace,20
high,19
time,19
uncle,19
thought,19
come,19
however,19
waves,18
even,18
day,18
last,18
human,18
waters,17
many,17
henry,17
quite,17
bright,17
garden,17
way,16
air,16
house,16
lay,16
ugly,16
duck,16
night,15
came,15
children,15
blue,15
green,15
heart,15
light,15
mother,15
whole,15
large,15
head,15
began,14
first,14
sky,14
go,14
another,14
felt,14
whilst,14
swam,14
white,14
father,14
became,13
storm,13
girl,13
may,13
soon,13
voice,13
made,13
nothing,13
poor,13
sat,13
